       ,name                                                           ,address                                                                                                     ,gmap_id                               ,description                                                                                         ,latitude           ,longitude           ,category                                                                     ,avg_rating ,num_of_reviews ,price ,hours                                                ,MISC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,state                               ,relative_results                          ,url
189272 ,"Riley J. Williams III, MD: Shoulder, Elbow & Knee Specialist" ,"Riley J. Williams III, MD: Shoulder, Elbow & Knee Specialist, 610 W 58th St 3rd Floor, New York, NY 10019" ,0x89c258c3f9c015cd:0x698b600206f2c2cb ,                                                                                                    ,40.7712839         ,-73.99189129999999  ,['Orthopedic surgeon' 'Sports medicine physician']                           ,       4.3 ,            28 ,      ,"[array(['Tuesday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Wednesday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Thursday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Friday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Saturday', 'Closed'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Sunday', 'Closed'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Monday', '9AM–5PM'], dtype=object)]"         ,"{'Accessibility': array(['Wheelchair accessible elevator', 'Wheelchair accessible entrance',
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 'Wheelchair accessible restroom'], dtype=object), 'Activities': None, 'Amenities': array(['Gender-neutral restroom', 'Restroom'], dtype=object), 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': array(['LGBTQ friendly'], dtype=object), 'Offerings': None, 'Payments': None, 'Planning': array(['Appointments recommended'], dtype=object), 'Popular for': None, 'Recycling': None, 'Service options': array(['Online care'], dtype=object)}"                                                                                                                                                                                                                                      ,Closed ⋅ Opens 9AM Wed              ,"['0x89c258eb6cf99675:0x6d18a9420c77545c'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c258e9ae4cb6d5:0x33daa0e96e5968e7'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c2f69c6997d6c9:0xfb0a61bdba3c3120'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c259a98cae2fbd:0x64113a5d5eb63184'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c2f69beda44e81:0x7c2030b75e15a768']" ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258c3f9c015cd:0x698b600206f2c2cb?authuser=-1&hl=en&gl=us
159711 ,Angelic’s Kitchen Food Truck                                   ,"Angelic’s Kitchen Food Truck, 1538 E High St, Charlottesville, VA 22902"                                   ,0x89b389e8aae7e523:0xf578c9c47769f67f ,                                                                                                    ,38.0341818         ,-78.4597544         ,['Fast food restaurant']                                                     ,       4.0 ,             6 ,      ,"[array(['Thursday', '11AM–7PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Friday', '11AM–7PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Saturday', '4–8PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Sunday', 'Closed'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Monday', 'Closed'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Tuesday', '11AM–7PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Wednesday', 'Closed'], dtype=object)]"       ,"{'Accessibility': None, 'Activities': None, 'Amenities': array(['Good for kids'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': array(['Fast service'], dtype=object), 'Offerings': array(['Quick bite'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Delivery', 'Takeout'], dtype=object)}"                                                                                                                                                                                                               ,Closed ⋅ Opens 11AM                 ,                                          ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b389e8aae7e523:0xf578c9c47769f67f?authuser=-1&hl=en&gl=us
185268 ,Superior Fertilizer                                            ,"Superior Fertilizer, 3761 E Weidman Rd, Rosebush, MI 48878"                                                ,0x8821f7f65222cbbf:0xb9a1b0f118926022 ,                                                                                                    ,43.684343999999996 ,-84.77199449999999  ,['Garden center']                                                            ,       4.4 ,             8 ,      ,                                                     ,"{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': array(['Mask required'], dtype=object), 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': None}"                                                                                                                                                                                                                                                                                                                                                  ,                                    ,"['0x88221b3855425875:0x9f6841718177a94a'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x8821f788cbfceea7:0xd3beaf2c00dc9666'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x88223e24edb414c3:0xc0304aedc8d8fc9b'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x8821f0067e73ee9d:0xedd7af087ff4a606']" ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8821f7f65222cbbf:0xb9a1b0f118926022?authuser=-1&hl=en&gl=us
137720 ,Exotic Rental MIA                                              ,                                                                                                            ,0x2d7a7b20bfae82d7:0xb49fccea7bb3afb6 ,                                                                                                    ,25.6463064         ,-81.4783562         ,['Boat rental service' 'Service establishment']                              ,       5.0 ,            38 ,      ,"[array(['Saturday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Sunday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Monday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Tuesday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Wednesday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Thursday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Friday', 'Open 24 hours'], dtype=object)]"   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Open 24 hours                       ,                                          ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x2d7a7b20bfae82d7:0xb49fccea7bb3afb6?authuser=-1&hl=en&gl=us
202709 ,"Dr. Joel, Inc."                                               ,                                                                                                            ,0x873ea87219703827:0x780c013772740285 ,                                                                                                    ,37.482016699999996 ,-107.9195915        ,['Computer service' 'Service establishment']                                 ,       4.0 ,             4 ,      ,"[array(['Tuesday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Wednesday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Thursday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Friday', '9AM–5PM'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Saturday', 'Closed'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Sunday', 'Closed'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Monday', '9AM–5PM'], dtype=object)]"         ,"{'Accessibility': None, 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': array(['Staff wear masks', 'Staff get temperature checks',
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 'Staff required to disinfect surfaces between visits'],
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 dtype=object), 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Online appointments'], dtype=object)}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Closed ⋅ Opens 9AM                  ,"['0x873c02a04e894585:0xd0ae1222cefb5212'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x873ea63dade642ab:0x705548645ae7b01e'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x873c03cf93141659:0x501a783ab3266866'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x873c02cf7e6236d9:0xa7656c509de2ec4c'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x873c02a04e894585:0x178b396517881bb2']" ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x873ea87219703827:0x780c013772740285?authuser=-1&hl=en&gl=us
 71697 ,Wilmington Towing & Roadside Assistance                        ,"Wilmington Towing & Roadside Assistance, 1512 Montgomery, Wilmington, DE 19805"                            ,0x89c6fd67abbd2403:0xbf024b01a61a266  ,                                                                                                    ,39.7443599         ,-75.6086092         ,['Towing service']                                                           ,       4.2 ,            18 ,      ,"[array(['Tuesday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Wednesday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Thursday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Friday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Saturday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Sunday', 'Open 24 hours'], dtype=object)
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           array(['Monday', 'Open 24 hours'], dtype=object)]"   ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Open 24 hours                       ,"['0x89c703928441b605:0x884a8c271dcc1798'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c701e3ebbdfbd1:0x15ac87588739b78b'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c70275426b59ad:0x12303032a237b179'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c7070d85b7bcaf:0x7c7e92b2d54ad428'
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '0x89c6fd26787e7b05:0xb9738dd9100fff8c']" ,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c6fd67abbd2403:0xbf024b01a61a266?authuser=-1&hl=en&gl=us
