       ,review_id              ,user_id                ,business_id            ,stars ,useful ,funny ,cool ,text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,date
 69374 ,qewpNVNq_a3WFOI31hZvoQ ,meBRnWJTQYZ5gahuvbdWaA ,PY9GRfzr4nTZeINf346QOw ,  2.0 ,     3 ,    0 ,   0 ,"The peppermill itself is a very nice facility. This trip. I had a bad experience with the staff. If was our anniversary, and my boss sent us champagne and strawberry's. They delivered it to us, and then called later and said don't open it...wth? They mistakenly gave us too expensive of a bottle and picked up that bottle and gave us a different bottle. We had to wait for them and they made us late to our dinner reservation. The difference in the bottle price was very minimal. Such a weird experience. The dinner at the steakhouse was very good..props to them! The maid walked into our room without knocking and we were like do you need something? She said it was a mistake? Again a very awkward situation. Upon checkout I discovered that the Bellman had dropped my makeup case, and broke it and several items in it. I called and they basically said there was no footage so I am SOL :/ Very disappointed. We have been guests before and did have a very good experience."                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2015-05-27 22:32:17
130777 ,mlMMaBod8R6OsQZBDPLVYA ,I8DP-MmfNgVvPZKqSlcuxA ,vUTkL2n4AgWj8MZuXDblWA ,  5.0 ,     0 ,    0 ,   0 ,"Just had dinner here with our 3 kids. The food was very good and kids meals were very reasonably priced ($7 for meal plus drink). The view was fantastic and great service too. Our server, Sarah, was very attentive and friendly and sweet!  We had a great time. The view is fantastic in the ""golden hour"" before sunset. Great restaurant for the whole family and a nice change of pace from eating quick serve meals on the beach."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2015-08-10 01:00:16
379095 ,KNr5hBMpRrD9aQrnxzmROQ ,z7_QpeQKsPL-8LUuHKW7rw ,WO5nr-4sjVs506BdCLL0aA ,  5.0 ,     0 ,    0 ,   0 ,"Been here twice and both times consistently good.  Friendly staff, fresh sushi, and presented with flair and care.  Will come back."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,2015-01-17 15:49:38
344130 ,4P52LdqpOEPItpeB-4xCow ,_KQSRD2OhJaJQ686kSM7PA ,rnh2rnrQoQTqnKiY2En8Eg ,  1.0 ,     0 ,    0 ,   0 ,Worst IHOP I've been to. Service and food is awful. I love IHOP but will never return to this location                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,2017-03-13 21:05:20
307612 ,nylZtCtzPPn4cpa9ShEvFg ,Elwre5rq65v8YQQzxQYKLg ,HcEOK1WiOpHvhZtp7PkRmg ,  4.0 ,     0 ,    0 ,   0 ,"This was our 1st time here. Won't be the last. Great food and service! Something different than the usual fare. Great appetizers and solid main course. Mofungo was so perfect! Definitely want to say great job to our waiters!
                                                                                                            Can't wait to get back and try some other taste treats!
                                                                                                            Do it!!!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2015-04-24 20:59:54
 32767 ,TEqiKKqA-b6k7rmLLqsJuw ,P-xKi0mGndWyWM3ySXgl3A ,4xSoCvHcFLoZW8tyxMqrpw ,  4.0 ,     0 ,    0 ,   2 ,"Can't remember the name of what I had but it had ""pig"" in the name. Purely delicious! It had a very tasty chipolte sauce in it, which added that extra punch. One thing I really liked, was how it was served. Cut in half and in cups! Very neat and didn't get messy."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2014-05-12 08:35:09
143755 ,bFpfWNuq184XkwUR1I7mRg ,m6SZs9-UPweT1LpmUftIZA ,pqmpsRtNxntXcCfkExPvmA ,  3.0 ,     1 ,    0 ,   0 ,Overall it's a good place to go. The buildings are neat and creepy. Some of the rooms in the haunted house smell terrible. The actors are pretty good but not the best I've seen. To me it's very pricey for what you get. The lines for the first 2 attractions went fairly quick but the third line took about 2 hours to get through and it wasn't even halfway full only about 2 rows of the 8 rows they have setup. I probably wouldn't go back. It's one of those one and done type of places.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,2015-10-13 20:13:06
382952 ,3t7n8ZkAoFZ42gZQqPdBoQ ,W2vps7ycIGAuHwfEm-ZbHQ ,cogiJiOXN5fDu7jnkYEkfQ ,  3.0 ,     0 ,    0 ,   0 ,Very limited selection. The size of the store reminds me of the little grocery store in vacation towns. Unforntunely I have to go to another store to finish my shoping.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,2018-12-30 16:46:46
390194 ,YZCuXPl_tE7lUVKzhjRgOQ ,Hl7155ThbYFRZmTY7wKjNQ ,aDn90OI3HgzO8A2FO46j9Q ,  1.0 ,     0 ,    0 ,   0 ,"Once again a terrible $34.00 car wash. First of all $34.00 for a car wash is outrageous.  Wheel rims still dirty and vehicle not fully dried and water spots plus debris still on paint.  Ask for a rag to finish their poor job.  Spoke to some young punk who said he was the manager.  In stead of asking what could be done to make the situation right all I got was SORRY. Well SORRY is exactly the type of car wash you get. Misters has cornered the market in Tucson and obviously they just don""t give a S!!T."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,2020-01-14 16:02:11
116574 ,-_xadysFK16Upf0N1-dixA ,l6HOtwCQrgIbI-OwflM-TQ ,PBtZNTQl5tRReeC8It1G7g ,  5.0 ,     0 ,    0 ,   0 ,"Our family enjoys the Sunday brunch here. They easily accommodate many large groups and have a beautiful presentation. The variety of food is cooked well. On regular Sundays the cost is $25 pp & for $5 more add endless mimosas. On holidays like Mother's Day it's $40pp & they only give 1 mimosa pp complimentary. They offer so much variety it's difficult to try something from every area from kid friendly sliders & mac n cheese, to oysters on the half shell, shrimp & prime rib. The Resort is an old building elegantly decorated and reminiscent of old Safety Harbor rich with history. I personally appreciate that you pay the cashiers before entering into the brunch area. No waiting for the check when you're ready to leave. I never felt pressure & was able to enjoy the brunch & atmosphere."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2017-05-14 18:01:06
104634 ,aXcrcDOzkify8xU2zfpoAA ,Fy1U2OXvmRBM5wfqHE6QEQ ,z680Aylt8wN2KAeFM1hy-A ,  4.0 ,     2 ,    0 ,   0 ,"This place is awesome - it has a fun sporty, relaxed atmosphere with a variety of food and drink options.
                                                                                                            
                                                                                                            The signature sauce on the wings is excellent (A+) and has just a tiny bit of a kick to it. Our service is consistently fantastic (friendly & quick) and there are a number of televisions in the facility for watching sports, etc. It seems like an excellent place to come and watch futbol (and they have some good breakfast offerings on 'Soccer Saturdays & Sundays'). They post information on that and on their upcoming beer tappings on their website.
                                                                                                            
                                                                                                            Metered parking available on Mass. Ave. and there are a number of streets in the area with open parking. You can enter off Mass. Ave. or from another door off of the bike trail behind the pub."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,2016-05-11 18:33:17
370420 ,486HoXaycMGnG4PmA-qaTg ,IA5-1dJka7BnXYQlOgj-Lg ,9XkgYvXhYibe85V6mNE_TQ ,  3.0 ,     0 ,    0 ,   0 ,Servers are either really inattentive or either really understaffed. Food is average at best. Just your basic bar food. Dont eat the chicken kabobs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,2018-10-06 19:17:23
109066 ,UGBd_s328xixN8KpX3DP-Q ,u8EgqDkF24x26DCQA6KYQA ,1UNorskttXSWuEcgzKzXcA ,  4.0 ,     2 ,    0 ,   1 ,"I would like to give you a higher score, Xochitl but you left me wanting... Halloween is my anniversary, and every year my partner and I try to go somewhere new every year to celebrate. This year I came across Xochitl's Dias de los Muertos four course $35 prixe fixe menu, and we decided to go!
                                                                                                            
                                                                                                            Sopas - My partner had the Pozole de Conejo (Rabbit) and I had the Caldo de Gallina y Masa (Chicken and Masa). They were good, but I did not have a single Masa dumpling in my soup... I was a little bummed.
                                                                                                            
                                                                                                            Antojitos - My partner had the Gorditas Infladas con Frijoles y Queso Panela and I had the Escabeche de Guajalote. I was pleased with my dish, but my partner was not pleased with his.
                                                                                                            
                                                                                                            Platos Fuertes - My partner had the Carne con Cileajo with blue masa tortillas, I had the Pescado Zapoteco with pumpkin seed mole! AMAZING! We both loved these dishes!
                                                                                                            
                                                                                                            Postres - My partner had the Crepas de Plantano Macho, and I had the Clafouti de Calabaza. Mine was so / so and my partner only had a taste of his... They were not that great.
                                                                                                            
                                                                                                            We were both uncomfortable, mostly because we were tucked away in a corner. The service was slow and our waiter did not seem like he was interested in being at work. We are definitely going to go back, but we are ordering from the main menu and we are making sure we have a different waiter / waitress."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,2009-11-03 19:36:19
