,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories,hours,coordinates
18251,y36s2lDcimRho8sh73UYFg,Santa Fe Mexican Grill,800 Clearwater Largo Rd N,Largo,PA,33770,27.924322,-82.795965,3.5,206,['Mexican' 'Restaurants'],"{'Friday': '11:0-22:30', 'Monday': '11:0-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0', 'Thursday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0'}","27.924322,-82.795965"
76404,_1zUyN7PGRVuMKBIjKFykw,Taco Dirty,4447 4th St N,St. Petersburg,PA,33703,27.812618,-82.6382577,4.0,48,"['Desserts' 'Event Planning & Services' 'Caterers' 'Restaurants' 'Mexican'
 'Tacos' 'Beverage Store' 'Food']","{'Friday': '10:45-16:0', 'Monday': '0:0-0:0', 'Saturday': '10:45-21:30', 'Sunday': '10:45-21:0', 'Thursday': '9:0-20:30', 'Tuesday': '10:45-21:30', 'Wednesday': '10:45-21:30'}","27.812618,-82.6382577"
148198,NKx4d_nv6AU-cJ5z6I8U2g,Dairy Queen Grill & Chill,11190 Ellerslie Road SW,Edmonton,DE,T6W 1A2,53.425307,-113.5194951,2.5,6,['Ice Cream & Frozen Yogurt' 'Restaurants' 'Food' 'Fast Food'],"{'Friday': '11:0-20:0', 'Monday': '0:0-0:0', 'Saturday': '12:0-20:0', 'Sunday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0'}","53.425307,-113.5194951"
39320,3LSYzek9a1Xho8uPEFe29w,Outback Steakhouse,5240 S Lindbergh,Sappington,PA,63126,38.527517383,-90.3664953171,3.5,131,['Restaurants' 'Steakhouses'],"{'Friday': '11:0-23:0', 'Monday': '11:0-22:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0', 'Thursday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0'}","38.527517383,-90.3664953171"
15982,6Tv1T3HFPmSfdxGBW1YSyg,Jacole Sound,15 Tyler Dr,Willingboro,PA,08046,40.0137823,-74.8860501,4.0,10,"['Home Services' 'Home Theatre Installation' 'Restaurants'
 'Local Services' 'TV Mounting']","{'Friday': '8:0-20:0', 'Monday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0'}","40.0137823,-74.8860501"
86848,YdZS3QkpjgHU2zIJ_bqy_A,Outback Steakhouse,4871 E Grant Rd,Tucson,NJ,85712,32.2514463935,-110.8887127208,3.0,195,['Steakhouses' 'Restaurants' 'Seafood'],"{'Friday': '11:30-20:0', 'Monday': '0:0-0:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0', 'Thursday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0'}","32.2514463935,-110.8887127208"
123836,jyRQNFeaGhdZBgf4kkWFlA,Roe's Deli Station,5851 Park Blvd N,Pinellas Park,PA,33781,27.83959,-82.714191,4.5,19,"['Restaurants' 'Breakfast & Brunch' 'Delis' 'Cafes'
 'Event Planning & Services' 'Caterers']","{'Friday': '8:0-14:0', 'Monday': '8:0-14:0', 'Saturday': None, 'Sunday': None, 'Thursday': '8:0-14:0', 'Tuesday': '8:0-14:0', 'Wednesday': '8:0-14:0'}","27.83959,-82.714191"
19063,TcznsWah9kWQhTzvuHMUaQ,Daiwa,"5033 Lapalco Blvd, Ste B6",Marrero,PA,70072,29.8738436,-90.1004856,4.0,222,"['Asian Fusion' 'Nightlife' 'Japanese' 'Restaurants' 'Sushi Bars'
 'Karaoke']","{'Friday': '11:30-20:0', 'Monday': None, 'Saturday': '11:30-20:0', 'Sunday': '12:0-18:0', 'Thursday': '11:30-20:0', 'Tuesday': None, 'Wednesday': '11:30-20:0'}","29.8738436,-90.1004856"
75828,c-oGZZ81FYvclXAYIs0mqg,Dirtbag's,1800 E Speedway Blvd,Tucson,NJ,85719,32.235782,-110.945105,2.5,67,['Restaurants' 'Bars' 'Dive Bars' 'American (Traditional)' 'Nightlife'],"{'Friday': '11:0-2:0', 'Monday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': None, 'Thursday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0'}","32.235782,-110.945105"
17663,LM54ufrINJWoTN5imV8Etw,John's Roast Pork,14 E Snyder Ave,Philadelphia,PA,19148,39.9210273851,-75.1450284438,4.5,1564,"['Sandwiches' 'Salad' 'American (Traditional)' 'Cheesesteaks'
 'Breakfast & Brunch' 'Active Life' 'American (New)' 'Beaches'
 'Restaurants']","{'Friday': '10:0-17:0', 'Monday': None, 'Saturday': '10:0-17:0', 'Sunday': None, 'Thursday': '10:0-17:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0'}","39.9210273851,-75.1450284438"
