,business_id,date
26709,Bq69zDUTbBrfmtB9OBH9uA,"['2012-12-08T14:13:49.000000' '2013-07-17T16:14:42.000000'
 '2013-08-01T18:04:11.000000' '2013-08-07T16:35:09.000000'
 '2013-09-25T17:12:16.000000' '2013-10-01T17:07:44.000000'
 '2013-10-17T17:20:10.000000' '2013-11-02T18:08:19.000000'
 '2013-11-13T16:17:18.000000' '2014-01-11T22:57:58.000000'
 '2014-02-01T16:30:33.000000' '2014-03-13T17:31:30.000000'
 '2014-03-29T16:31:34.000000' '2014-03-29T16:49:08.000000'
 '2014-05-31T16:17:00.000000' '2014-06-14T15:12:00.000000'
 '2014-07-11T16:49:16.000000' '2014-07-25T20:08:41.000000'
 '2014-07-26T15:52:58.000000' '2014-07-26T16:52:01.000000'
 '2014-08-20T00:13:08.000000' '2014-08-22T15:43:59.000000'
 '2014-09-13T16:20:10.000000' '2014-10-03T16:11:57.000000'
 '2014-10-11T16:17:05.000000' '2014-10-23T17:17:52.000000'
 '2014-10-25T19:32:57.000000' '2014-11-08T21:00:11.000000'
 '2014-11-14T18:24:58.000000' '2014-11-22T16:25:48.000000'
 '2014-12-03T16:45:27.000000' '2014-12-05T17:20:00.000000'
 '2014-12-05T17:26:47.000000' '2015-01-02T21:14:09.000000'
 '2015-02-06T17:16:39.000000' '2015-03-14T15:29:47.000000'
 '2015-04-21T17:39:23.000000' '2015-08-27T16:38:31.000000'
 '2015-09-03T17:06:04.000000' '2015-10-02T17:37:02.000000'
 '2015-10-06T17:15:50.000000' '2015-10-13T16:14:13.000000'
 '2015-10-15T16:27:20.000000' '2015-12-30T18:52:52.000000'
 '2016-01-27T18:16:32.000000' '2016-02-13T19:10:44.000000'
 '2016-02-13T19:27:25.000000' '2016-03-23T16:47:16.000000'
 '2016-03-31T16:24:37.000000' '2016-04-09T17:47:19.000000'
 '2016-06-10T15:57:20.000000' '2016-07-12T17:31:37.000000'
 '2016-07-28T19:08:00.000000' '2016-08-16T16:17:12.000000'
 '2016-09-01T16:52:17.000000' '2016-10-01T17:43:08.000000'
 '2016-11-05T18:56:03.000000' '2016-12-09T22:03:12.000000'
 '2016-12-22T22:23:09.000000' '2017-01-05T18:52:30.000000'
 '2017-03-25T20:46:12.000000' '2017-04-26T16:43:01.000000'
 '2017-06-24T12:22:25.000000' '2017-08-19T17:42:46.000000'
 '2017-09-12T17:28:52.000000' '2017-12-29T18:22:00.000000'
 '2018-01-03T17:27:40.000000' '2018-02-10T18:57:20.000000'
 '2018-03-27T21:32:05.000000' '2018-04-13T18:06:07.000000'
 '2018-04-19T19:35:17.000000' '2018-06-16T17:45:08.000000'
 '2018-06-28T15:53:37.000000' '2018-09-26T16:27:05.000000'
 '2018-11-02T16:22:17.000000' '2019-02-13T17:10:21.000000'
 '2019-02-28T17:28:01.000000' '2019-03-16T15:23:31.000000'
 '2019-05-16T15:58:47.000000' '2019-05-17T15:19:47.000000'
 '2019-06-05T15:49:25.000000' '2019-08-23T15:00:33.000000'
 '2019-08-23T16:13:13.000000' '2019-09-14T16:40:08.000000'
 '2019-10-31T17:04:40.000000' '2019-11-14T17:06:00.000000'
 '2021-04-09T16:58:04.000000' '2021-09-04T14:28:40.000000']"
76035,Zv8T58AxGbNk8MZ1wdjFsQ,"['2014-10-03T12:51:59.000000' '2016-05-12T16:48:25.000000'
 '2018-03-14T16:36:26.000000']"
114006,rNlG6yEM3tI8TBoPyzyPhg,"['2010-09-27T15:32:16.000000' '2011-04-27T03:03:25.000000'
 '2011-05-23T16:35:49.000000' '2013-03-13T13:56:15.000000'
 '2013-03-18T14:01:14.000000' '2013-10-30T22:57:44.000000'
 '2014-03-10T15:57:29.000000' '2014-06-16T01:25:26.000000'
 '2014-06-25T15:19:35.000000' '2016-10-22T19:23:17.000000'
 '2016-10-29T03:56:30.000000' '2016-10-29T08:06:19.000000'
 '2016-11-02T11:37:11.000000' '2016-11-04T19:22:21.000000'
 '2016-11-05T17:26:58.000000' '2016-11-06T21:03:10.000000'
 '2016-12-14T23:49:55.000000' '2016-12-20T18:48:36.000000'
 '2018-05-06T15:55:36.000000' '2020-07-16T11:41:22.000000']"
77420,__UJ0y9HkJ8KTswmMZJRlA,"['2018-08-18T16:21:48.000000' '2018-09-05T20:32:17.000000'
 '2018-09-12T17:26:02.000000' '2018-09-16T18:06:32.000000'
 '2018-09-23T11:03:39.000000' '2018-10-21T17:17:34.000000'
 '2018-10-22T06:27:00.000000' '2018-11-03T06:51:18.000000'
 '2018-11-10T01:20:45.000000' '2018-11-24T02:39:55.000000'
 '2018-12-21T05:48:11.000000' '2018-12-23T23:40:38.000000'
 '2018-12-29T06:12:41.000000' '2019-01-01T06:38:55.000000'
 '2019-01-10T04:03:15.000000' '2019-02-03T03:15:54.000000'
 '2019-03-05T09:59:47.000000' '2019-03-14T18:17:44.000000'
 '2019-05-18T19:50:17.000000' '2019-05-25T04:02:29.000000'
 '2019-06-19T06:48:20.000000' '2019-06-30T03:42:03.000000'
 '2019-07-05T06:51:49.000000' '2019-07-07T06:24:40.000000'
 '2019-07-07T22:07:24.000000' '2019-07-24T07:48:34.000000'
 '2019-09-22T05:11:12.000000' '2019-10-04T01:34:14.000000'
 '2019-10-21T02:49:11.000000' '2019-10-21T03:00:57.000000'
 '2019-12-01T06:37:43.000000' '2019-12-08T23:22:08.000000'
 '2019-12-31T04:26:23.000000' '2020-01-06T02:47:32.000000'
 '2020-01-07T23:22:00.000000' '2020-01-21T04:57:58.000000'
 '2020-02-08T04:45:43.000000' '2020-02-09T04:19:25.000000'
 '2020-02-17T01:16:25.000000' '2020-02-26T05:18:08.000000'
 '2020-07-15T16:59:38.000000' '2020-10-21T02:01:59.000000'
 '2020-10-31T06:02:24.000000' '2020-12-30T00:59:21.000000'
 '2020-12-31T04:23:57.000000' '2021-03-07T06:30:33.000000'
 '2021-03-21T03:49:28.000000' '2021-03-30T04:17:44.000000'
 '2021-05-20T02:29:55.000000' '2021-05-20T02:37:21.000000'
 '2021-05-23T00:02:04.000000' '2021-05-31T03:11:51.000000'
 '2021-07-07T02:07:40.000000' '2021-07-12T21:33:08.000000'
 '2021-07-15T01:13:37.000000' '2021-07-25T07:48:56.000000'
 '2021-08-26T05:00:10.000000' '2021-12-12T06:57:38.000000'
 '2021-12-26T02:09:34.000000']"
30330,DaeOhHo5WI_Gby4_vcXUTg,"['2015-07-11T15:55:38.000000' '2015-08-30T20:15:32.000000'
 '2016-09-20T23:13:12.000000' '2017-01-13T19:43:39.000000'
 '2018-08-03T01:38:58.000000' '2019-09-27T21:32:30.000000']"
3504,0dtk2LY38O1Xw1X3P3JDCA,"['2021-08-07T17:54:53.000000' '2021-11-10T22:24:26.000000'
 '2021-11-24T19:50:38.000000' '2022-01-01T19:30:14.000000']"
100701,kwtKZ3fzM5jlR8Z7KIA17g,"['2020-09-20T03:26:29.000000' '2020-10-11T03:01:52.000000'
 '2020-11-07T02:55:51.000000' '2020-12-25T04:16:17.000000'
 '2021-02-24T00:15:11.000000' '2021-03-20T22:35:43.000000'
 '2021-03-21T23:04:23.000000' '2021-04-03T04:16:39.000000'
 '2021-04-10T02:46:33.000000' '2021-04-10T03:24:47.000000'
 '2021-05-13T03:44:26.000000' '2021-05-23T02:55:37.000000'
 '2021-06-04T05:35:44.000000' '2021-06-13T06:09:30.000000'
 '2021-06-27T05:36:17.000000' '2021-07-18T05:16:07.000000'
 '2021-07-25T05:06:50.000000' '2021-08-15T01:49:24.000000'
 '2021-08-29T03:27:59.000000']"
117764,tDzG-Kmmuf5v5VkLCd7Yig,"['2010-06-17T16:53:47.000000' '2010-10-05T17:33:13.000000'
 '2010-10-22T18:16:42.000000' '2011-03-19T00:45:29.000000'
 '2011-05-06T16:59:52.000000' '2011-05-16T16:47:47.000000'
 '2011-07-08T17:17:55.000000' '2011-08-16T17:40:34.000000'
 '2011-08-18T17:05:31.000000' '2011-08-19T19:10:25.000000'
 '2011-08-24T17:22:57.000000' '2011-08-24T17:23:28.000000'
 '2011-09-02T17:55:40.000000' '2011-10-24T17:17:55.000000'
 '2011-11-13T20:32:01.000000' '2012-01-12T17:54:52.000000'
 '2012-02-11T23:42:34.000000' '2012-02-26T19:25:31.000000'
 '2012-04-10T19:28:35.000000' '2012-04-13T17:45:49.000000'
 '2012-06-04T19:17:21.000000' '2012-06-07T18:14:25.000000'
 '2012-06-14T00:24:04.000000' '2012-12-04T18:57:53.000000'
 '2012-12-12T00:47:24.000000' '2012-12-18T18:10:40.000000'
 '2013-01-02T17:29:10.000000' '2013-01-18T19:25:39.000000'
 '2013-06-27T18:14:46.000000' '2013-07-19T17:47:36.000000'
 '2013-08-01T23:39:59.000000' '2013-08-01T23:40:05.000000'
 '2013-08-05T19:21:49.000000' '2013-08-20T18:15:59.000000'
 '2013-08-30T17:39:13.000000' '2013-09-10T17:03:57.000000'
 '2013-09-24T17:05:14.000000' '2013-10-15T16:05:51.000000'
 '2013-10-29T18:46:23.000000' '2013-10-29T21:36:59.000000'
 '2013-11-09T21:46:46.000000' '2013-11-11T20:34:43.000000'
 '2013-12-09T17:46:57.000000' '2013-12-26T17:54:31.000000'
 '2013-12-27T21:52:28.000000' '2014-01-09T19:30:06.000000'
 '2014-01-10T18:36:04.000000' '2014-01-22T21:14:30.000000'
 '2014-02-11T18:17:58.000000' '2014-02-19T18:12:48.000000'
 '2014-03-14T17:20:04.000000' '2014-04-01T16:08:00.000000'
 '2014-04-10T21:38:57.000000' '2014-04-25T20:36:35.000000'
 '2014-04-28T20:37:12.000000' '2014-05-01T14:16:06.000000'
 '2014-05-05T19:39:07.000000' '2014-05-13T17:39:44.000000'
 '2014-06-27T18:45:47.000000' '2014-07-08T20:25:15.000000'
 '2014-07-11T20:10:05.000000' '2014-07-30T01:40:35.000000'
 '2014-08-08T19:26:52.000000' '2014-08-22T17:46:37.000000'
 '2014-08-28T17:50:33.000000' '2014-09-09T18:11:04.000000'
 '2014-09-10T14:22:40.000000' '2014-09-18T16:36:02.000000'
 '2014-10-03T18:27:48.000000' '2014-10-07T18:28:45.000000'
 '2014-10-07T21:52:50.000000' '2014-12-12T18:12:22.000000'
 '2015-01-14T20:12:08.000000' '2015-01-20T18:34:39.000000'
 '2015-02-22T18:14:29.000000' '2015-02-23T18:36:20.000000'
 '2015-03-10T21:46:29.000000' '2015-04-03T15:28:54.000000'
 '2015-05-07T00:10:22.000000' '2015-05-19T20:48:14.000000'
 '2015-07-23T17:18:01.000000' '2015-08-02T17:19:15.000000'
 '2015-09-10T17:52:53.000000' '2015-09-13T18:18:09.000000'
 '2015-09-13T18:25:28.000000' '2015-09-16T16:44:54.000000'
 '2015-09-20T17:28:24.000000' '2015-09-22T21:17:18.000000'
 '2015-10-28T19:14:52.000000' '2015-11-23T20:15:16.000000'
 '2015-12-10T18:34:46.000000' '2016-01-14T19:17:39.000000'
 '2016-01-20T16:23:20.000000' '2016-01-27T18:28:58.000000'
 '2016-01-28T17:38:09.000000' '2016-02-29T19:42:46.000000'
 '2016-03-30T19:22:47.000000' '2016-04-04T18:47:12.000000'
 '2016-06-03T19:37:36.000000' '2016-06-17T17:58:06.000000'
 '2016-06-29T17:29:23.000000' '2016-06-29T17:35:41.000000'
 '2016-07-27T17:05:20.000000' '2016-09-04T18:10:58.000000'
 '2016-09-18T15:11:44.000000' '2016-12-29T19:51:09.000000'
 '2017-02-21T21:23:31.000000' '2017-05-24T17:11:30.000000'
 '2017-06-18T16:17:23.000000' '2017-07-19T16:29:34.000000'
 '2017-07-19T16:30:16.000000' '2017-09-29T17:43:14.000000'
 '2017-10-10T16:59:15.000000' '2017-10-11T18:25:35.000000'
 '2017-12-14T18:05:07.000000' '2018-01-05T20:42:48.000000'
 '2018-01-11T15:35:55.000000' '2018-02-06T19:01:29.000000'
 '2018-03-13T17:37:13.000000' '2018-03-15T18:10:43.000000'
 '2018-04-12T16:08:28.000000' '2018-06-12T17:13:24.000000'
 '2018-06-13T16:49:00.000000' '2018-06-26T16:35:53.000000'
 '2018-07-29T18:37:18.000000' '2018-11-23T19:12:18.000000'
 '2019-01-18T18:15:32.000000' '2019-06-06T17:24:39.000000'
 '2019-06-19T17:50:55.000000' '2019-06-21T17:24:33.000000'
 '2019-07-19T17:22:07.000000' '2019-08-21T17:24:14.000000'
 '2019-12-10T00:02:17.000000' '2020-06-03T18:14:00.000000'
 '2020-08-04T15:30:20.000000' '2021-10-06T23:53:44.000000'
 '2021-12-29T22:47:34.000000']"
52339,OSV4mS8wLuRAu5d1nkmaQA,"['2019-02-16T18:41:54.000000' '2019-02-17T21:02:30.000000'
 '2019-02-20T17:48:42.000000' '2019-03-30T19:06:16.000000'
 '2019-04-10T15:33:51.000000' '2019-04-17T16:36:29.000000'
 '2019-04-19T18:16:03.000000' '2019-04-27T18:20:01.000000'
 '2019-05-13T16:21:47.000000' '2019-05-26T14:44:20.000000'
 '2019-05-27T15:11:22.000000' '2019-06-23T18:33:03.000000'
 '2019-06-29T14:05:56.000000' '2019-06-29T14:06:48.000000'
 '2019-07-28T18:34:34.000000' '2019-08-13T18:02:54.000000'
 '2019-08-23T16:33:25.000000' '2019-09-19T12:23:39.000000'
 '2019-09-20T17:10:38.000000' '2019-10-06T13:59:55.000000'
 '2019-10-27T17:12:32.000000' '2019-11-21T20:34:17.000000'
 '2019-11-29T17:05:00.000000' '2019-12-01T16:05:45.000000'
 '2019-12-12T19:32:56.000000' '2020-01-02T16:39:22.000000'
 '2020-01-12T19:45:43.000000' '2020-03-14T15:45:40.000000'
 '2020-06-27T16:46:19.000000' '2021-02-07T16:02:20.000000'
 '2021-02-13T17:21:24.000000' '2021-04-30T13:03:31.000000'
 '2021-05-21T16:46:21.000000' '2021-07-25T15:14:12.000000'
 '2021-08-23T13:53:11.000000']"
40114,IRyKDIF51M0GcqS8yfPcYA,"['2010-02-13T17:22:39.000000' '2010-03-06T21:03:44.000000'
 '2010-03-13T17:49:06.000000' ... '2021-11-16T18:46:52.000000'
 '2021-12-20T20:45:55.000000' '2022-01-16T19:33:02.000000']"
