,name,review_id,user_id,business_id,stars,useful,funny,cool,text,date
163077,Germantown Cafe,v0FLcsb8MZGDbh0igZjgUw,GXsawjGM0p8AQTgKvWG08w,jl38yx7zzMRbg-kOK8NLDw,5.0,0,0,0,I can't say how much I love this place cuz I would be writing all night. It's amazing. Every dish I have tried is incredible. The place is beautiful and the service is great. Always a winner in my book! Thanks!!! I love it!,2018-08-02 06:47:43
498132,Coop's Place,L_G02SSscefPGHbfIWwV8g,2wOypTMBuc8aYS68-aCxug,XnQ84ylyAZwh-XfHGGNBbQ,5.0,0,0,0,Best redfish meunière in the city. Jambalaya totally rocked. They don't let you use your cell in the restaurant. Great local beer! We went during one of the parades so didn't have to wait on line. I wish I could stay another day so I could eat there again!,2018-02-09 04:22:31
326695,Masala Spice Indian Cuisine,PwbEK5nbtQgFJbluybpUCA,9PQLeB_vu6weJf0qtXNuDg,xkS_mRHVHuX0ko6kVIyBdA,5.0,0,0,0,We love this restaurant & like to eat here vs take out. Great service & food is always fresh.,2019-11-04 00:06:28
404015,La Pizza,bpRW8SeN7v_8_gWnNwQbnA,Jlywd4ZlMdWQrVN1cql7JA,BeWw8cFF1maJLbgCeHACjw,3.0,0,0,0,"The pizza here isn't too bad, but it's a fairly generic crust and flavors. The fact they sell pizza by the slice is cool, but I will say there are a lot of other pizza places in U-city one should try out before eating here. 

The interior is small and seems like it's designed to get people in and out the door. The staff is nice and facility is pretty clean.",2015-02-16 00:36:51
396266,OPA!,jaJYy9aFgRN-WA5686849w,0YI3p9o-ntRgRaPWpfa22Q,M1HbLQgxYScBJhbZTRY3SQ,5.0,1,0,1,"First time at Opa. Our friends really like it and picked this as our place for lunch. Nice bright interior. Decorated well for a place in a strip mall. Wasn't sure at first when we walked in. It took a bit for us to be acknowledged, but understood because the servers were also host. We had very good service and the food was surprisingly good. Starter of Saganaki.  Fried cheese always good. Husband got Chicken Riganato ( it was the closest thing to Chicken Souvlaki) with potatoes and green beans. I got a Gyro wrap minus lettuce and tomato with sauce on the side & French Fries. He said the chicken wa better than our favorite Greek Restaurant. I tried his potato and it was good. We both stayed clear of the green beans. We both hate cooked onions. Gyro wrap was great. French fries were just your basic fry. In all great meal and service and will try to make it back.",2019-09-01 20:16:08
1060707,Pietro's Famiglia,wZIYa6ykn2oGvfF2ws_79w,Qgd9ErPPRWvTci3XINttVA,rHLjiwjgXOZ7xVUoT1wd9w,2.0,0,0,0,Attended prior to Toby Keith concert. Place was very busy. A/c was unable to keep up. Ask prices for specials. Normal entree items probably a better value. Wait time exceeded one hour for food.,2019-06-17 04:16:29
1024458,Taco Loco,AmbIrEeOtWE4ol8CIcLDcg,vXYcOtA-rogHpBFZEPKbYg,G1PbNo1yYxAu7G6b6sXZiw,4.0,0,0,0,Is there any more authentic way to order a taco than in Spanish from a old truck while watching a bunch of local Mexican kids play soccer in a dusty field?,2012-07-31 20:53:11
655439,Superica,-8SQtrLYLMKUnoOACQ64vw,01wEOQThHSMNK80JeecjEg,ap5bxhjMs3f4alh7Zu51nQ,5.0,0,0,0,First time visit to celebrate our anniversary after a recommendation from a friend. We sat outside on the awesome patio. Covid precautions made us feel safe. The salsas were amazing! If they were bottled we would have taken them home. Drinks were fresh. The carne in the skirt steak fajitas was tender and enough to take home. Can't wait to return,2020-09-26 22:20:08
255432,Subway,aHZxGXt1jqxbIo9zIb17fQ,_sUfx_eW4ClwQt8EW8L1rg,4eFOGnHxVgVet0gUSF7cXg,1.0,1,0,0,"We didn't get an opportunity to try this Subway.   After four hours driving  in the car, we wanted to get lunch and stretch our legs.   This subway  location only has a drive thru and has their lobby closed.  Not certain if it was due to the holiday weekend or a new policy.   We chose to find an alternative eating establishment to meet our requirement to not eat in the car.  Just want to warn you as this location is a little off the road to get to and the frontage road doesn't allow you to directly turn back towards the main road.",2015-07-05 17:49:05
354906,Chick-fil-A,5_bnHE6uXrNgh1ZBmJAhZQ,a6R4hHriY07he8DdJIhKrA,0COlL5IKRu5sdWIsEiQAZg,1.0,0,0,0,Worst Chick Fil A around. Consistently messes up orders and/or forgets items. negative establishment just about in every aspect,2021-06-12 01:04:14
