,user_id,business_id,text,date,compliment_count
7212,19druQUfbjgyg0DZxLMnHw,HCqmx4ENAZ76SAjoalj-MQ,We love this place! Great music and great food- what more can you ask for?,2016-02-14 03:16:46,0
308464,7ZEDtQmDE_UqfFN2j62Kxw,WusgaQ64KO8y2KAAHtTxWQ,Awesome owners very friendly. ...awesome food.  Freash and fast.,2015-10-28 21:37:55,0
559895,a_tlS4UUH8b_bcDN8VDcGg,GLIDO9WCvh0AOPfhA_t8vw,Terrible service,2016-08-25 14:39:01,0
257093,matwfplVjpHF9NDLF-YUsA,oQ5CPRt0R3AzFvcjNOqB1w,"Pork ribs so good that our Muslim friend (whom I believe hasn't ever eaten pork)  couldn't get enough. I'm not sure how or why he grabbed a taste but when he did,  he couldn't stop.",2017-02-13 17:52:18,0
232186,BTC_tqvwVKpvnfwaSUksJw,lC9loud_H6q7WtPxJaMwkg,Fantastic food and customer service. The baked chicken in very good!!!,2020-08-29 21:19:44,0
391930,O093fsby0DSRcnMBp8vY1g,HI90gPApLuPdEhoyNuEhow,"Lunch specials and happy hour, woohoo!",2011-06-10 17:12:55,0
766343,8DxRPXG0cIweknpN12B_rg,qmiz3iYOn4pZylOe27OTUQ,The best place to get Phó Tia in Tucson! No one can compare! Hands down!,2014-01-15 00:19:46,0
822265,COWj23IQ08ZGyQ8dNlEsrg,Y5RUhntIPDfe2eKriQFIZg,The drifter burger is fantastic. Sides are amazing too,2017-04-05 01:52:05,0
359702,FbrNQ9BNvOmPaA_eBMrF1Q,fAiPD2OIEm9wtS7uJqzu5Q,"I've been a long time customer of Natural Cafe and love the food here. They send me discount coupons by email on a regular basis.  However,  they have a silly rule that they require the email to be printed to avail the discount and do not accept if we show the email in our phone.   They say they need to keep a record but this seems absurd.  Firstly,  it's not too hard to note down the name of the person showing the email.  Secondly,  printing the paper only destroys the environment more.",2015-03-19 04:20:32,0
459813,8Md0JZzpp-GNcHzKldeT7w,fc5rutst3H7FkDyfgc5prQ,"Very good food, fast and a fair price. I love the employees here, always in a good mood and they seem to really care about you and your food.",2015-11-04 21:55:14,0
