,name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
172379,Lolailo The Original,"Lolailo The Original, 7637 Turkey Lake Rd, Orlando, FL 32819",0x88e77f012da4f8e5:0xec84885f62f0a379,,28.453287,-81.47583999999999,['Spanish restaurant' 'Seafood restaurant' 'Tapas bar' 'Tapas restaurant'],3.7,6,,"[array(['Wednesday', '3–11PM'], dtype=object)
 array(['Thursday', '3–11PM'], dtype=object)
 array(['Friday', '3–11PM'], dtype=object)
 array(['Saturday', '3–11PM'], dtype=object)
 array(['Sunday', '12–7PM'], dtype=object)
 array(['Monday', 'Closed'], dtype=object)
 array(['Tuesday', '3–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot'], dtype=object), 'Activities': None, 'Amenities': array(['Bar onsite'], dtype=object), 'Atmosphere': array(['Casual', 'Cozy'], dtype=object), 'Crowd': array(['Groups'], dtype=object), 'Dining options': array(['Lunch', 'Dinner'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': array(['Great dessert', 'Live music'], dtype=object), 'Offerings': array(['Alcohol', 'Coffee', 'Comfort food', 'Healthy options',
       'Small plates'], dtype=object), 'Payments': None, 'Planning': array(['Accepts reservations'], dtype=object), 'Popular for': None, 'Recycling': None, 'Service options': array(['Delivery'], dtype=object)}",Permanently closed,['0x88e77d5307fe35c5:0xcf0f86dd592df666'],https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77f012da4f8e5:0xec84885f62f0a379?authuser=-1&hl=en&gl=us
48942,Lost Creek United Church,"Lost Creek United Church, Sodom Cemetery, 7007 Troy Urbana Rd, Casstown, OH 45312",0x883f6dcfbd0bcdd1:0x21e4c6ccb9476dbd,,40.0878303,-84.0693825,['Church'],5.0,2,,,"{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': None}",,"['0x883f71bbf9c6222b:0x97d917d2fb508b79'
 '0x883f7395b65f63b9:0xe007861019e496e9'
 '0x883f9c7ccf5d7ee7:0x925f1dd52214502f'
 '0x883f694a57f391f5:0xb48aa80ab6fcecaf'
 '0x883f609b754b8765:0x794fac36db7e1333']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x883f6dcfbd0bcdd1:0x21e4c6ccb9476dbd?authuser=-1&hl=en&gl=us
62074,Franklin Church,"Franklin Church, 704 S River St, Franklin, OH 45005",0x884061ab9e99c4f7:0xe2877c2c39f0f6b2,,39.5569451,-84.3079947,['Church'],4.6,18,,"[array(['Tuesday', '9AM–1PM'], dtype=object)
 array(['Wednesday', '9AM–1PM'], dtype=object)
 array(['Thursday', '9AM–1PM'], dtype=object)
 array(['Friday', '9AM–1PM'], dtype=object)
 array(['Saturday', 'Closed'], dtype=object)
 array(['Sunday', '9AM–7PM'], dtype=object)
 array(['Monday', '9AM–1PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance',
       'Wheelchair accessible parking lot'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': None}",Closes soon ⋅ 1PM ⋅ Opens 9AM Wed,"['0x884061afb7f00567:0xef892c6bf87e49c2'
 '0x884061ae4fba3f81:0xc7d38b2e895ee3e6'
 '0x884061ac62c2b67d:0xa53f6dfcdfef8595'
 '0x884061db58abc6cd:0x33c747c293b78e58'
 '0x884061ae831ce85d:0xbb9ff3eed92e4c5e']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x884061ab9e99c4f7:0xe2877c2c39f0f6b2?authuser=-1&hl=en&gl=us
82086,Reliance Market,"Reliance Market, 699 Castro St, San Francisco, CA 94114",0x808f7e10085c99f3:0xfe507cd770e31757,,37.7578271,-122.43449609999999,['Grocery store'],3.9,8,,"[array(['Monday', '8AM–11PM'], dtype=object)
 array(['Tuesday', '8AM–11PM'], dtype=object)
 array(['Wednesday', '8AM–11PM'], dtype=object)
 array(['Thursday', '8AM–11PM'], dtype=object)
 array(['Friday', '8AM–11PM'], dtype=object)
 array(['Saturday', '8AM–11PM'], dtype=object)
 array(['Sunday', '8AM–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': array(['NFC mobile payments'], dtype=object), 'Planning': array(['Quick visit'], dtype=object), 'Popular for': None, 'Recycling': None, 'Service options': array(['In-store shopping', 'Delivery'], dtype=object)}",Open ⋅ Closes 11PM,"['0x808f7e04c1542bf9:0x76a639c65c90a80c'
 '0x808f7e11f3770793:0xe2f216f244bde536'
 '0x808f7e1d04ccc81f:0x403e5c156f570365'
 '0x808f7e005ff11a79:0xd749cb3ee0274b05'
 '0x808f7e1b7b0a14d7:0xc3af606c3630156c']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f7e10085c99f3:0xfe507cd770e31757?authuser=-1&hl=en&gl=us
252207,DLC CARGO,"DLC CARGO, 406 43rd St #1, Union City, NJ 07087",0x89c25823d3b8ada9:0xec897bb15c46a2b3,,40.777919,-74.023654,['Shipping and mailing service'],4.9,8,,"[array(['Sunday', '11AM–3PM'], dtype=object)
 array(['Monday', '9AM–7PM'], dtype=object)
 array(['Tuesday', '9AM–7PM'], dtype=object)
 array(['Wednesday', '9AM–7PM'], dtype=object)
 array(['Thursday', '9AM–7PM'], dtype=object)
 array(['Friday', '9AM–7PM'], dtype=object)
 array(['Saturday', '10AM–4PM'], dtype=object)]",,Closed ⋅ Opens 11AM,"['0x89c259883cd692f1:0xf418546587884ffe'
 '0x89c2f7e6547c227f:0xf9301045dae9c6d2'
 '0x89c25823d3c874d5:0x74e4ea7a6eb7111']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25823d3b8ada9:0xec897bb15c46a2b3?authuser=-1&hl=en&gl=us
120429,Winter Park Dental,"Winter Park Dental, 21 Kings Crossing Rd #107, Winter Park, CO 80482",0x8640dda2aff55839:0x6acea71ada93bfca,,39.927372399999996,-105.78886659999999,['Dental clinic'],4.8,8,,"[array(['Saturday', 'Closed'], dtype=object)
 array(['Sunday', 'Closed'], dtype=object)
 array(['Monday', '8AM–4PM'], dtype=object)
 array(['Tuesday', '8AM–5PM'], dtype=object)
 array(['Wednesday', '8AM–5PM'], dtype=object)
 array(['Thursday', '8AM–5PM'], dtype=object)
 array(['Friday', '8AM–2PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': array(['Appointments recommended'], dtype=object), 'Popular for': None, 'Recycling': None, 'Service options': None}",Closed ⋅ Opens 8AM Mon,"['0x876a2f3182131dc5:0x7779688ab17319f7'
 '0x876bcabcbdbc4369:0xc6f9336775a6d217'
 '0x8640dda2aff55839:0xe84710f7e3d78853'
 '0x876a349e9688afaf:0x870e6979d219d46b'
 '0x876a34d3694ee907:0x90702432d65883e4']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8640dda2aff55839:0x6acea71ada93bfca?authuser=-1&hl=en&gl=us
8342,Highland Spa,"Highland Spa, 20131 US-59, Humble, TX 77338",0x8640b300576b9175:0x3b15e5c3499d2dd5,,30.0097229,-95.27085199999999,['Spa'],4.0,47,,"[array(['Wednesday', '11AM–7PM'], dtype=object)
 array(['Thursday', '11AM–7PM'], dtype=object)
 array(['Friday', '11AM–8PM'], dtype=object)
 array(['Saturday', '11AM–8PM'], dtype=object)
 array(['Sunday', '12–6PM'], dtype=object)
 array(['Monday', '11AM–7PM'], dtype=object)
 array(['Tuesday', '11AM–7PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': None}",Open ⋅ Closes 7PM,"['0x8640b254d6ae4a0b:0x6cc7d09f037fc464'
 '0x8640ac45b9d7ee3f:0x64ade70f341c8739'
 '0x8640b3f92de383d1:0xb9f991d390ccc104'
 '0x8640b39e4903dfdb:0x885446332608b4f1'
 '0x8640b25ea0e3b927:0xa2be662dc86bba6a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8640b300576b9175:0x3b15e5c3499d2dd5?authuser=-1&hl=en&gl=us
30647,Bee Safe Bee Removal,"Bee Safe Bee Removal, Freeport McMoRan Building, 1615 Poydras St #900, New Orleans, LA 70112",0x8620a5a3994cd98b:0x19952216a263ebf2,,29.952799199999998,-90.08000589999999,['Pest control service'],5.0,1,,"[array(['Wednesday', '9AM–10PM'], dtype=object)
 array(['Thursday', '9AM–10PM'], dtype=object)
 array(['Friday', '9AM–10PM'], dtype=object)
 array(['Saturday', '9AM–10PM'], dtype=object)
 array(['Sunday', 'Closed'], dtype=object)
 array(['Monday', '9AM–10PM'], dtype=object)
 array(['Tuesday', '9AM–10PM'], dtype=object)]","{'Accessibility': None, 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Online estimates', 'Onsite services'], dtype=object)}",Closed ⋅ Opens 9AM Thu,"['0x8620afbca6ddd12d:0xe14e04ff0c9eff39'
 '0x8620a3815e0c7c5b:0x842a61d2bedc2f51'
 '0x8620c5f0acfabedd:0x980c5ea0b84bb444']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8620a5a3994cd98b:0x19952216a263ebf2?authuser=-1&hl=en&gl=us
272856,Stella Maris Academy - St. James Campus,"Stella Maris Academy - St. James Campus, 715 N 57th Ave W, Duluth, MN 55807",0x52ae4c390bce437f:0xee090f6863755b60,,46.743499799999995,-92.1696412,['Private educational institution'],4.3,6,,,"{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': None}",,"['0x52afac5330767e91:0x369fd25b303dccf6'
 '0x52afaceefddcb703:0x7630010c3f124d4e'
 '0x52ae4d4987f16ead:0xc12e4c09a158ce60'
 '0x52ae51f24e1a4dbb:0x6265de24ead6f63'
 '0x52afad4b63c87a93:0x23d31f60994c6b3f']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x52ae4c390bce437f:0xee090f6863755b60?authuser=-1&hl=en&gl=us
179093,Freshens Yogurt,"Freshens Yogurt, Harlingen, TX 78550",0x866f8195c33b945d:0x3e053ebe7d4b504b,"Counter-serve chain serving freshly blended smoothies & frozen yogurt, plus health-focused bites.",26.183645199999997,-97.7183438,"['Frozen yogurt shop' 'Juice shop' 'Takeout Restaurant' 'Salad shop'
 'Sandwich shop']",3.6,8,,"[array(['Wednesday', '10AM–9PM'], dtype=object)
 array(['Thursday', '10AM–9PM'], dtype=object)
 array(['Friday', '10AM–9PM'], dtype=object)
 array(['Saturday', '10AM–9PM'], dtype=object)
 array(['Sunday', '12–6PM'], dtype=object)
 array(['Monday', '10AM–9PM'], dtype=object)
 array(['Tuesday', '10AM–9PM'], dtype=object)]","{'Accessibility': None, 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Highlights': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Delivery'], dtype=object)}",Permanently closed,"['0x866f81eb484be13f:0x4a6ccb0fe813fec8'
 '0x866f824999b9a667:0x74ac90e4c098781d'
 '0x866f8038f35da401:0x1f9dcaaf4db3f3f2'
 '0x866f8249c3ab8ca3:0xa6de85a7c0ca50de']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x866f8195c33b945d:0x3e053ebe7d4b504b?authuser=-1&hl=en&gl=us
