,user_id,name,time,rating,text,pics,resp,gmap_id
396532,100958738277408335338,Jason Dombrowski,1532044857698,3,,,"{'text': 'Jason thanks for the review but sounds like you did not have a ""5-star"" experience. If there is anything we can do to improve on your next visit, please let us know. Please visit http://bit.ly/2odGMuG so our Guest Relations team can follow up with you directly. Thank you!', 'time': 1532105287068.0}",0x89b7b79586818f15:0xfe3bd18439861ed7
481111,101332152748757637189,She is Resa,1557059289040,5,Loved it,,,0x89b7b78d60ea203f:0xd43ab5e285a3c3a8
408335,115706784354841462959,Donveyea Fleming,1515873059356,5,"Great place for brunch! The staff is awesome, amazing food, & the music was poppin!",,,0x89b7b7e7ce5ff0d1:0xd7fde19b1671b2e9
411080,102321280269480636707,Connor Kinsella,1534348750743,3,Overpriced for average food.,,,0x89b7c8195c8491e3:0x8e8b752fd31ee0a0
198590,105963756454407072097,Nubia Fasil D.,1559846992568,5,,"[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipMrBQ4lVTF5PXr24cRA9NnFtdxJgPGYN2Jy_rX9=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipMk9RWiZmwl7CquJPYkCT9Mxt0SKW_oUJtGHVzO=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipP4PUI4evruyeIZuxydO7MVnk-nin5MESQfGG-Q=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipMIhy-EfLEKHhOdDmQrvyjgmxaHIe7MolY6Dxc5=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]","{'text': 'Thank you, Nubia!', 'time': 1559854194584.0}",0x89b7c81ae96b634b:0xb0907813fa54486a
101352,115580207249646345193,Patrick Palafox,1478372321759,5,,,,0x89b7b7fa84f671eb:0xf154498668ec0119
83414,100404853023590003396,maria elizabeth eastwood vaine,1563905342626,4,"(Translated by Google) Bus terminal in New York, going to Philadelphia. Simple, very expensive roadways. Common bus.

(Original)
Terminal de ônibus em New York,  indo para a Philadelphia.  Simples, passagens rodoviárias muito caras. Ônibus comum.",,,0x89b7b81f5cefa2bd:0x8f76258a57e1831f
100543,101700900682944717298,Anna Jones,1603561251681,5,"Lisa is Kind and Considerate willing to do what is needed to make you feel comfortable as she helps you deal with your therapy and she has a great since of humor which some in her field does not have. I enjoy working with her she helps me feel welcomed and relaxed during my therapy.

I think she is a great Therapist to work with.",,"{'text': ""Thank you for your kind words, Anna! We're so thrilled to hear that you've had a 5-star experience at MedStar National Rehabilitation Network. We'll be sure to share your positive feedback with Lisa and the team. Thank you for choosing us for your health care. We wish you the very best!"", 'time': 1603737907334.0}",0x89b7c8073b418109:0x5f71e4eac2ee0994
235824,111980654713748646423,Emily Belcher,1547823445504,4,,,"{'text': 'Thank you so much for the review, Emily. We truly appreciate the 4-stars! Feel free to reach out to us by email at comments@starr-restaurants.com if you have time to share your ideas on how we can improve our food and or service. We look forward to earning that last star on your next visit!', 'time': 1597679857290.0}",0x89b7b961c707a8ed:0x5e1d2e2cf2018f46
391363,117217464669410562669,Dain Roose-Snyder,1487730878315,5,"Great bakery, chicken pesto sandwich is awesome",,,0x89b7c818a4d90217:0x39814c87fb570125
286055,112851542390655212954,KESIA BRIGHTHAUPT,1536441496965,5,Best liquor store in DC love the prices,,,0x89b7b99e22733fcd:0xe52cdb30835f13fa
103490,111269924792609172809,Tanya Wagstaffe,1526342108394,3,,,,0x89b7c785587c487f:0x5bdc9d2a33e683c3
48694,110515375046220243221,Dipika Mouli,1536427826541,4,"I was pleasantly surprised by the quality and variety of clothing in this place! The first time I went here a few years ago I couldn't find anything trendy but this last time I went had great options including an entire section of $5 tops from brands like Banana Republic, J Crew, etc. It's a shame that they don't consign but I would definitely go back here.",,,0x89b7c820edfdf0cb:0x8a2bed1122a42cef
