,user_id,business_id,text,date,compliment_count
143798,gw8DTqIysWR9piQ5Qjj-VA,UUOOjXAyk7dBpwTtKCnwyg,"Fresh ingredients with a friendly, laid-back attitude. Back patio is chill.",2013-05-14 01:17:59,0
515186,lzhJZLOc_VecDrXYoiJLbA,G2ElfaHhRuVFTDbgWlu2Jw,Soooo where's the self checkout?,2017-05-29 18:08:39,0
865792,f06JhGqlUJ0IqX7bDGjwyQ,dTQMTapGnbSzoQR7BUywxw,Food should not be allowed to be this good. It's unamerican.,2015-10-12 00:32:58,0
767536,40WR7e1-CS1zTmfPCIkeWA,Z-qMHcxxfs787zZOIiCNtg,They expanded. Way more cardio equipment and a free weight/bench/squat room.,2012-06-29 08:24:19,0
823797,loLc0tZNam1BkoiXppyq2g,Qc-rI1MgkfdslTVsdo_pIQ,Don't forget: Hem & Her is a cash or check only business.,2015-11-23 17:21:35,2
4963,bue9WtzcLbxvEXrqUy8dsQ,-mDAFyX5kZHXhxjELeMhiQ,Love the brisket sandwich.,2012-05-27 17:20:37,0
237201,0G-QF457q_0Z_jKqh6xWiA,6XZlRSgdUsEDPlYurRgpMw,Homemade chai instead of that sugary Oregon crap :),2013-08-27 19:01:19,0
679979,hp-e9gBBxSndVfibtpkUuA,2CDI713ATuxHfnB5b-sBdw,"Reservations are tough, but sitting at the bar was easy and we had great service.",2012-12-29 14:47:22,0
315708,77bWFsKrO9x2MFP-33Djgw,dYGxKi2Gedi8-QMXzVQIgg,"Cute stationery for scrapbooking and lots of gifts, but the card selection is small and overpriced.",2013-07-31 22:46:35,0
672132,Clf0qdMGRof31n7B5_lYDA,fuiVa2_MABIQS7pINKcoLw,Try the drunken noodles,2011-04-29 17:29:29,0
603213,tD6a8AI7q__4COb_hhHc9w,J35bT076GgP9OcmtlMnLEA,Love my pedi,2014-03-21 22:57:49,0
477274,fDNJffEDxrZEoAibtxECnw,oF3QPsczR9ZiXPK89tdJaA,Delicious food. Love the orange chicken.,2015-08-29 20:15:31,0
120194,OleuUTzLgrG7NBdi9P6Y1g,yZypDeLXgqA781nsjEfyKw,"Good manicurists aren't hard to find. If you are looking for a business that truly cares about their community, go elsewhere. Despite kicking out a well known, well respected community member simply for defending a homeless man being attacked with a bat, look at their responses to some of the bad reviews (this reply was to a 3 star review). There are many wonderful businesses to spend your money at.",2017-06-02 04:43:56,0
284456,lMY8NBPyzlPbbu-KBYfD9A,ZpBGEwlHXPwChQNFzQlLgg,FYI,2018-05-27 01:57:23,0
472894,NpOGkN24JbhtGEB3IKHYuA,CA5BOxKRDPGJgdUQ8OUOpw,Awesome place!,2015-11-12 02:03:23,0
162139,cAeP-gFFvaRCmvl3ums_UA,stJax2pMd3PVBbHZthlOdg,Get the Gold service,2014-09-16 17:20:31,0
37632,a-Z3HSdECIJmlmpEpsC4Sg,fpi78UyYCZ-RSoibWc-NDg,Most expensive pupusas on earth... Far from the best. Mediocre at best.,2014-10-13 14:28:21,0
48862,Jl4kC3eiGlEgEylXpOj7-Q,wL_5DIYA06jXzqV3FMhfBg,Eggplant parm is subpar.  Other items look better.,2016-12-04 01:41:54,0
702360,ZIb2hht7QL19fqi1uPJSOA,OsmHS0f9VPqrU7s3e5uVGA,They are so family style dinner oriented! I really love their oxtails,2020-08-10 21:39:57,0
83946,HXB_ByCCp8cZm1WMjKn1Tw,bdteJqgoj0OaALhj9RFtmw,BBQ pork extra spicy extra meat! Boooom,2011-10-21 01:02:02,0
364339,mJy-5ShuwwYRayxRtl6xxA,_U-hsWBK2O8J3-qahtG2pA,"They were out of some drink ingredients and major food items (eggs), which probably cost them a lot in sales and could have been rectified in a 20 min trip to Safeway. But everything we drank and ate tasted good and the staff was nice.",2012-10-22 07:21:21,0
883916,b6MIkQrdbsje4Nz1leszOw,uWoLti05-nQk9v0YEYOueQ,Don't plan on getting your phone back that you gave em. They told me they couldn't fix mine after they took it apart. Then gave me an old version(non 4glte) and thought that I wouldn't care. I do.,2012-10-22 11:17:44,0
