,user_id,name,review_count,yelping_since,useful,funny,cool,elite,friends,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
1659954,68T-sDuBrSzucvx_1ycpQA,Laura,3,2016-06-28 20:44:23,0,0,0,,"enOE5pO6quZK6SksjJZUDw, zI3IEDVN3WNfKsdTmMX6Ew, OxC7DUOc7uQ2tcSYoY3VCQ, sJNurX71vFuk9-FZhXlTSQ, hwZjoZnWX4GI6bne7Zx9eQ, Dlab6U8sQVq_u-MMZiUAfw, -nHwoXO27fuLfxAfSqAggw, DYhEg8Gktu0Kag9J352iTQ, bgoeEiLOXFVKHHKYXnb1wA, viH7JVCt5PNnJbOzBLi5Ng, cj3q7pW862G_zZFIiGXuKQ, _3r09r4TAPEWKFFqmIqkvw, H-PiB271xdb2umzd15c2dg, KlQauDsFHfnV-EU9tFWY7g, 5Jlpfs05yjxeNUHq8W59Jg, PNiMTC_asiZIv9wEoJYgsg, VujwqB7BW0Fkm9MtRt3lKQ, 0rwuDbchebXOQagql1KM9g, XFoZsOHQv2IwtCRaqZ_Tug, N5vBESlAXD4w5VJqbGX1mw, 0HBg7LLEVJLnSyOgzXHZvQ, W83gv2jrXAoP8rryuZQ4zw, wzXzXFOcnsSDfi00XQLsiQ, EM-0zLLHAY0d0WLx3KRPfg, aO5eWAjCn3_rfrjeHrKkDg, I_TLsrASejGdZl7sDrQX8Q, YHqChH3pAUQbwxAYCE6Lsw, ERoPxtnM9WxzATRPfTHmZA, hV0m-p7GhKmgzfap2XwN8g, dRef0AP0XxT7RAa0RKl6sg, lp7s8pNgZwm39BvRslHqyg, 3Qcef15LPenv8mm5J5E1Jg, 57AhqdBYHgBMZFtAZOqztw, wYZiqWbYoMafV6Oowjc67w, ijdfB85U-l5hQ3ZFneddxg, k3zW481HVBB0K5FegCCW5Q, 9NcYq4XL6Jk9AkNHY5RRVA, 3EpuuErsK4VuHqQuQtIlHg, 9EFoEZCSM-4REYL9AjIvbw, YoLYS-hzgEcsowN9z9Th1w, j48rc_OV-X4fESZZnvNfWQ, PyGaUhhs9iD4HN0FRT6__g, cjNuKkr7Uy1X2wbuDiJDlA, dc-5Va_mIyIXySmucrw_7Q, aBMdpxQ8KbDsQdcT1oF-mw, 0G_iLU-PedZqoIL931cTSw, z6-LDW5AX_AxKyM35ukZUA, l8hw8X_ElsXLzdftB-GbAw, UbPLslHUoiWynwFD2Am6rA, -QOCYmn8HGhqTEccNG4Hmg, yqY1JbyrkA_dqvoxAZCg_g, Z0Xibm4_0TqFg-tYEVK4GA, g04xvuIlr0fIKXDoqf7eag, 1SneIyD5OR5SrFfTJOD96Q, c9cTPAupvHCm_LT5wYWl5Q, FzR02EgfLQbSxp2AV96wng, qJ7XTi3J9-lUE2b-I63ZlA, dac1BIz4hXgRyV7AmQeKzw, e0Bute0V-YjBTB0EcTx4ow, dsDGpLFfqgE6AstCqDlUgQ, 0fPqOgxEgGsz160YY8UPRQ, NvQ2HKRTur3Pw-L-5I7Gyg, ywOwQThphEg02RkltknMeA, bAGkkKo8fEWPvZWY_JhRjA, XL7JU6i295S-IqxvHnWG0A, WfmGpVur_QmMUNb5a18_Sg, xh7-XYCHCP84ati0Tb84Gw, kHQo32sbkWDeZlUzgZ_69Q, bksroQrzNDhRYMGc06BCGg, WTAR1UA1YhbnFuEE2EDcQw, RMjSNafqJFHFyfB_YMuIlg, ac27LcB-tEyGv0m5t1PxQg, V4CsW96F3gZtofvJHkGbFQ, xuBqEoljo7IZTFk9QHTTRg, WV39mPYYzt0wwZCZ6qyBig, C7mwqKpvKKQGV5ByXBmoBQ, kfWNE9p8SMc-CI0MWcndoA, lTyfsIu90LrrGSSX3U4yVg, wM2yg8sBmrRftKreNBTQYQ, J76NaUPCygvY6D1OPLAZRA, IWj_dHqGocTn9fYAqkMmlw, c0w-Wmu-2LmJBA3LM-xBWQ, Xwy5Hxs9QARinhFDuRWj2w, zbsu6XhDJ0-11X2V0B7gFA, yY3bInH7tWO4NpIesmMw8A, lk3-2Po1AS_5yDbci7bjtQ, vEwl9N3OG088FoDK1whfdA, yomvYrY4IPzeeglXqBXeoQ, kALoOqDZAtKoClJxKYaRyg, INl7XpeChJ5HuMTcPgGfhA, jisZqHarJ-6QG6wiKiXIkw, RtQZdbkyiYRpBy1MG2ekcg, B3mEZyZ4F0OXZs4TkVwZ0g, u09Tx_zju8ux8osyMxjsNQ, 7S3vfzthYwhbgU_7u-QedQ",1,4.33,0,0,0,0,0,0,0,0,0,0,0
714438,Wph7u44a5oxnOSgYKq8nmQ,Sarah,3,2017-04-15 07:08:54,0,0,0,,None,0,5.0,0,0,0,0,0,0,0,0,0,0,0
2100574,oGkwJXQLtrEBNX3oIzfcfw,Kathleen,7,2016-01-10 00:42:14,6,0,2,,"GncoyBoSEYfKPqKQ5rIljg, ti_W0Dlps-JxFDibE6HnGQ, CAnIoYEizc_EvljgJ4hy9g, IEK1cYKjnlkueWAruf_wfQ, rRmZHPkRWbeOhcggirpc0w, CcefZqhgmo_la5Se4jHDQg, QPpkpC7tZ2guUnBHSQsdvA, tLasnu6R3wnarfLFwqswug, e7bm0n0gMZeOyXIfXFrm2Q, HmN5pN_Tl6dYDKmu01EEzw, yG8KYC0goWBdSFKoAR7dFw, C19q0AeSrR8xdwGOoZ8vnQ, ZYAQPArtDvpIvXGgdb5kkQ, RxShDhwf3OreIasHZxDJhA, sCgV0xaryvjwPM9ghmP1xw, E0r9aW9NuCP2evt8WJ16QA, QMXWVdaexBd4Dw14hkT64g, Es7dQfMkKQr-lxtI_J2e5A, OfWRrZd2Ili-FuyK9kDFkw, pQvc8ygxxy07XMOyFiMzMw, 533wfDVvHNUj9LCDiGsl1Q, EJ42A6IFbv2cIMCbBAhKZg, F7waFF4J7hzDkXH7AG7VfA, VgY4hbDf5gDSdQtt-7xiCw, yP3dLlFZ4NBhyLP3wg-40g, zYX_Hi_rmFiJLSM9pV_BYA, MIf5sUAwrFP7z7p6op-Cwg, 5BiurBEkcRkFxd1IGJO_KQ, f-30w87lh0b3jGl8wmKJ9w, wRJMZn1hA8RtwUtPNmBeww, R-2YO-9EKcN4IOLmp_ItIw, uPtySCca_Xr-Ix1b_nZwzA, 6XoNuyia3RBxlGDQAU0-6Q, 3ZbqEFCc6GtGlP5u3lrrYw, VgUa-IEfgfcprM_O2SS29A, YKyIL03js0xCCStZx-EUUQ, II3bNSVNZHzd4iT1awEJYw, otEq1ZQyW7NQ29omAbr3mA, BvHYLAeagx5bRP3Jqwqgiw, PppRGIlkrUFweK_hP2KDTg, 7dVVQTOdU-HXKfkz-cJrYQ, cSTr-yKEPWlSu8V-RJDGww, jVB5-mrppQTzwYXenyM83w, 7mW4ETi2K_khxSTTMC90rA, Z0HLa7Oe1buQtw2Kv7aGlw, QehIJdFIKG2mdb9DdbmOCg, vihhEu-2b17U_-aVxHBtFA, R3kbgVMxPvcSdn5ZToDWUA, g3Tzp7C37NQEr7gAF-Fgiw, qNgLrW9P9F8mwyWcUstYKw, B4Qx1yR48as7KYz9n0m0gQ, zV8DRn87aRNxNoNdvJRmnw, GZDs0ZetoZl0N2EUcgpQPw, LvsJaBXAcz3zBrQgU4V_YA, mjLguksCDyuFi9cX2MLuVA, K7dfZ-wyyPSu28goTmWslQ, mrL6QjBBkITiW8_bT3BfaA, IUng4oOeA8w31DeOzZWY_w, QyJX_qa2_cQyfxbqq_Cubw, SHzKLbsVIZzbYTu1hS2v3Q, LSZQcOWxnwT1-cYwLLDZyA, jm0XKOXOaLbMW_xzM3H4Hg, e6ntZokQn-DfVq8ohbWl7g, YUSkci4E-ezR55A5WQ2GYw, hlFvsSIq51utjkD7wO2LyQ, pSh5ozlH_7JkY0nvgPuJlw, C2tFtwYcWIFzPc5QXOhELQ, KmywyssoJGjqPLXVG2F5vg, yVDJNZPRzioWHjKvAcOPaQ, kEAjJ3kPUuPGMRlzaCbRLw, KohwsI7BhCo5cR0ovxe5Hw, q_0-MSe0dYQwcxw33sWSHA, J6dmhv8htq_iYmVCLAKWVA, MTwr8tiBcrK667yhgnmH0Q, kh4Ao90GHUp6SxMVc68fUQ, rUD59G3gWp6SWrkYADd1qw, VUnFbDHu9ylVCHGeSby4UA, wm6cO02weDBDxHhNzJivdg, Y-kI2MccFlXpa7erq9bVyA, 0MDMNFDwReWKH3TO1KM9YA, WRNL7eR172obLfx3Tn-DrQ, YM7VZqpu1vsIx_-OOFCYqQ, RpOfI64AFYcK6jfjQPCXHg, QgSUDHDBHlk0L1Uofr1ogg, w--r3-FhxX3n--5jge0haA, qVEmas6gFaOoRLAhLIyJmw, 3WiCaxbvYS50dbg1Blm3PQ, BHpqcnJbmU59ZwFJ57t61w, UPvmNr_-03tGv0OHAt3CCg, KknzDQ6STyqilmHw49bXIg, CqvXSUvPbt_PI8mAI1vDdw, sraJkZ6209rbfYnJO8qvoQ, NJlmwxIZyNTl3iiMJVgccg, -zXQul6aRJop7D3lfcU-SA, PLaxMXM-YksQiUSPvgWtEw, IPJwV0BmmfeNetFEWStw-w, FfVT_xqkR7hq25Y4_gzNBQ, KYgjSu7uUimjEueXfKQ-jw, w5XzMu23cvTMq9GFfcShzw",0,4.0,0,0,0,0,0,0,0,0,0,0,0
1239264,QgSKSQ6iEnHyoNnFlgILCw,Gracie,3,2016-01-06 10:22:24,3,1,0,,"PFwdyMEmvq7cMpwFKXzrYg, Xfyz-v6HBMSTh6U_AMUtpQ, z4EWysLLs08s8ANL58VGKA, 3e_2_GRSB9o8IB864HKTdA, pJloir2q1wvnkHW-M-Qgjw, 4fVqqbzpQI3aAuJbu_mQcw, WxJGGlOHhbDwd1Cvx0M4VQ, AqaaFx0UQG4s46xoUdgZyA, fPY2fBpucT2w58m9_gJDKA, xNfe-iy59Tr9X_fr2NrcLg, ynE6YZkpWX4OXAt8oKe9Bg, W4SMhu8yHxTAFCab_tI8wQ, 8uQIHK6ElimnQ9Y78-Fx-g, bNzSVm2DyBlYugXG54RCUg, guVGBAVPUDGRk2ZvLMNhOg, YE1viszvnasOPDoJmvgBHw, 8WcH_VHGHZGCsBecSWTCRw, np9GHwGEYWNEIS4N--U5hw, npMJcihlsBL47tYqOsdC4g, pAnkdxTQqj45AFeTREX45g, G7fz0font8w81kzXt3GIJQ, cXG3Y4_OIdgEUQldyrtriQ, DzwJe-TjdmiYOoPbFdrY4w, qZnkWAo_wpCUhfXWm7kxnQ, JS0wI0p-Jnr1w8rFyktVCQ, JMvPGLrSwb_yfdETPB8sJQ, X0pxogtS1yotLjZhbWw5mQ, hAOt5A6SvasLOJX45OODfA, 9KO7_WGWGmXA3yPb4i92Zw, QMcYAVvgmWuOlIAPrKxrSw, WyDfgv9AO2ajcREC1Nm8bQ, N_cZ1GdjzfJj9_IydblhiQ, bCSMdxNtdAYkUbIf3tn1GA, j1VeA1QzMRBEc6tVwDYBHA, dnmBfZA-9URiB3wQvryI6Q, wf85HNLJddNCsvbOa-zxOw, T2181lBG7gK2hPy58Q3hsQ, mnY9TtTXSULReZNhF6CZqQ, oA-Inw9CUjtXR9rJG2kYkA, RuaZBgGAIf616iaAhHcvOA, cCd_v_ZTxu8UW-D1V1LAzw, pWbdgwWDUKMJLq4GrDm7HQ, MC9YKYKxcLn_mWUWL2hiyA, k2sSqwWl6kI-qIWT191Jmg, YqUsDFfB6sltWokC3sypwg, gz2sHdR1-rjpAO7avNh2Dw, CHIZdgXyZSnidrVq-GxL_A, n0Gk_1rzpHRyvzDjD6dDFA, LhNzz2Yp_Vdntd1yYCSMxA, HorF-noCVbTUZSkJGBB9vg, ch1MUeZINT0qm-goQx5b2A, 6n7gQfnBqg9q4KFZNtyxCA, QZoSxkM51SyeaKOTNP7e9A, Iaf31OJNaDilF2Q9AxYVuA, xcLWbaA6F1YL1dMtpNMFPQ, 225jHFArkAiHQRkPXbvzTg, DMkgFjBsI9pv7b-oFTFrGQ, LFFjfAu6kwXKI2E5LKwzqA, wBCJ59b98SSqOa8VFXr1JA, EOPtK6khuHkR4Fob6F662A, lhAklyslCVr9Y7hHX3RKLA, J0090cmxRpzlqT1Un3oHEw, 2XhySEDnLoioJkVZA28gJQ, 1NsqiM0Z_z7JPZk8ghULbw, HRc6Wk8f0lL4p01WI-Znjw, H6DGW5tIaptEUSnIAclBEA, rOshYBtsAogKhtO-PGN0vw, L5eXUCl7akCJuxx2JPHbpw, ZgAU_SliUYbL0vmt49Ed_w, DAH09oMGV0dy7zt3Jmzmsg, JrI-5yvXo_TDklw77yLXUg, oECFXAI6pJoac28YrM8qrg, NEcSlOZVAxP-uDMg5bo4kw, Lu1-fDcv5fUILCjpFRiViQ, AdH2d0bZy7N7KNhiTIvApw, 9FMQ5-qkHRxdgMf3ay_7Ng, u2TB2sJmEpyjVlzym-S4aA, b-j7_y--d4l1rAqkmvcqow, sqOUsNCgIgCV7q4aY2MeNw, Nlt4KqBasXtrfsac_4iVNw, T3Bn_zNptNWbZ1uiSEMNIA, -FUOf5j0pt4TXDGLyGOtwQ, xn9JuQtPRfy22j3RiGPHTQ, xT-AZNFXML-OSInmhdV80g",0,2.33,0,0,0,0,0,0,0,0,0,1,0
1032878,0V6UGHp-ER2jHLXNOuJHQQ,Anthony,15,2012-06-22 00:37:45,5,2,1,,"XeBznLX8Z8RI36q6jxPY9Q, Qpdp-snc3dsnRY7CWGyuEA, LMJJvkAa9tsHzREkRRfMbQ, aoIYZLiTt9txFvYm8TQYKw, Wz9LLd-P8UDNFNqxKuz1gg, I6ldsIrEdUuN4hrKato8-g, -ywf1qkM8zGkrfwNRO3M4g, FE3GV9hbW7SJtvOWRmFDXw, 9nrHluRLJqbvVm6NS0SK2w, ZEaD4XiX4H3-oxebBjEsoQ, mbdCa1yxrz_J4b95twgheg, AELB_4beM2OJ7K_Nxotm5Q, BFqw18kGOFz9UzKjoR1AbQ, zFPfrBs-Qd7KrLPp1wzn5Q, wgG3Wo6P9hkaEIkg_1WNLg, JVamQy7xBwWtcucCdTxWfw, EScJsOZQ3AWPoLqmLh2iKw, jhXJASrDmzf7gDNzCf1Tog, _DT83S8XjuUVv-2ruRb1tQ, oEBl5nuRmof3zMKdwcPNUA, xIVzBTHusYB-oCVB594FWw, 1XqJFJXNEStNmU37Jfm7Sg, 7Df64T584kgrnOTUFpeUyA, Na14J9x2UXPGN1BqKvnf0A, sKxsfaT0wbJBmQrb6WXe_g, D0GoWoUYXWvxSmTr1KkkkA, g_Z7WcPo0LjQSYykmyqBiA, WndIJFgr4Bma_-Ajpq7oEA, j_a2kVJS-dm3eBTj3zGYGg, iQQ2seAAvicN0-IqiUhdNw, WWFuSBycf2c-OeJHm9N9Ew, V-q4rB6eidUHd-LboO3wBw, cRfknyhclBSzex7dGeO-bw, G069ygYM_C9WeMsInZEOkw, QGNxjnW9Q-dU_OB6JX16kQ, lF6qDo34XU4lX2BYbPWipw, NrSURtBigpxbdfL4nGB-Jg, -pFsSYD7CvFeKduw4hnNwQ, 2kviLvtGGYWDKKrfbTxN6A, RbSt8HrO5a5wg4qekOY8Rw, 7-L98sYma-ZtXbpuK1DK6g, 1KCW2PU0-qGNZHfxiY0pFg, 62l1t0_qSG9t3jNXYviR5Q, mapVH_5vMiyKQnCfUU8vjA, E8G8_wQDIYVosKLsMKA_Og, ZdfyAUlBA67crBV344KIlQ, DhLMYA1G6OilRwExS2Ymyg, 9WeBEN3kp5Tiwq1R_UyIgg, 6FgLzrLKf9PuJZ6IypO7Yg, w77JsOaRFs76NeFCvpjzmA, pN3OY23GRSJJ2fxIaPxBXQ, evW3E0DdWbNoSmLGnPhRtw, afmwrKPWyqo0EXqPJ-YNlQ, P1qUX-_-xOmn0yehIuEOLQ, KrWs0fjTF8lyMNWPWdIjYg, 0Gqlk6zb81U8iWydueL0-w, FUTZ6KmNIMho9M7rG08erw, Nl78fpw2MTLMn7gLKRVmKg, vRw9Qu3vYA7cJiKLGI8e3w, gIZ69DJ9gCscmmuoIIJ0Aw, Hzp5fa4nXX57WGC7Bi3A5A, eYN4I12FoxSgRSyMSGZB-A, cvLmSqooY4Mj4irM407BSQ, VW6V-2DLs5Btd0jtjNxmKA, qvLWEgEWQkXZ6vD94mQ2dQ, 9qE6i1QpDG8q-yM0vH5fqw, wDHg1n-dGrQk2Q9E14NKsA, tGBidqrgNGLrbUo2amm5kA, 63LGmoskDfR9_pLqM2MKww, P8LP6g30ZgzdK96GJsmjsw, wd8Olrcj1DV82ic2wMmltQ, nIIEEZcy0LLihBl4528X0A, djT1P3u5OU9XBNrRjiivAQ, n0LLfmWO0F-fhGc9PCTqkg, DyRfydZx0qYNLcKJNBT6YA, 9g9lngXHLBjwEpux7dMmCQ, Y1EeBR4c7cbe20HGr6RTFA, JwAYz8xXfgsRQZmcubjqFw, _QNyfefF_7dngbGasE0pXQ, QsmZc9fP10AvVjyMjN9a9Q, Pxl59DVdZLjBGj_kz845Zg, HNSPDB_RnQ_XW1kbA4IprA, FPz-eS8ktleUtbrr6q3zbQ, eGE7QLJkPwwveJjznfWNDw, 4iPxAcqx4DotcXK5vbuLyA, 85eHLeEsEtXAgDhiJyHOVw",1,4.0,0,0,0,0,0,0,0,0,0,0,0
665534,EAy9IyQWVVQhMgBI_fMYqw,Danty,4,2014-05-04 14:29:33,0,0,0,,"4DvcbOt4LmJdQExsmFn2LA, WSEGAV3Zx3zRCo15zxRvdg, lSRUzOLd1m5wRYwSvzGsGA, NlqU9lorj9xShvbDceoy1w, m6Dnl2Qzauai17YuyNcztg, hbZhoW63pvtOzpSYNBeRfQ, RcpubznYMS_VrWpioJETJA, cj0qgXJvcCsxGy9ZpJnguQ, HfPrwVh3fDWOipSfgBXd3Q, Nmx5iOY0RIgqvtipxklXBQ, G-nI4pKk_WhVvIgGE5etxA, EWEo_sF65Rcz9y5a0b2S_w, ei2WCMRUwFjDu_SaDlxwqQ, _tYZ1u0asc6MSpUvySANwQ, PALHiTvCK0THtttmioz2bw, gncz8ZkwEhRiFRFGOA9GvQ, iAx38kl9pL08qEuI1mbBcg, 1n_zmXvCDEQgAxJ-j1DMng, kzym_QYYkJsiqaJXVGVMeg, w58yGcZrnjWSKeT-o5HCfg, 2I0p-pt-lTUtyCYCwW3Qjg, 2Lq_JAvqtOlSujsCdWtRfw, EgQo8HKCu7_MLdv8-AKZgg, H1S1gRo2anpA3S3_j6eGlQ, GyUEQTZTESBJ7U6wHEqZVQ, mEQBEFIXjsV_mgmcmMwH9w, ui8i-5eX-JZRjAYqu3_lCA, qS88o9keIgnVF0OCH2zyFQ, EWYkKsJSPi0KRYNaETVMgQ, hbgvhkQ9oO5aKqV1Bt7T0Q, 7uamFlpUax1SiZSPk9IL-Q, Z-fHyL7UPD5xkdGKCwKGtQ, mU_0CEUgeLbZ0nHaGDU9Jw, yn1AZEuuX-rfkLhjYaF5Tw, aAoF3kkUmG46Ia0U5GNhLA",0,4.0,0,0,0,0,0,0,0,0,0,0,0
30354,ZDyB3Hn9GvBsfR1vvrZt0g,Jess,29,2009-03-03 22:28:31,58,6,19,,"iooLzkDjldXS0pZUDzpqmQ, k2iTqENXnmp-Oy1bkN0LDw, E-ZdGBqktR9F1Py1YhMULg, C0IPhdvGlfcXmiN8GRcfYQ, ndnT4XPl8ti_lR23fsFUkw, m5CWooL_o8qEZFcDdw4nCw, GSrPb_oi0AGPtDvEERXFtA",0,4.5,1,0,0,0,0,1,2,0,0,0,0
1190471,jwwbNcmDUQwyOgYbhq1JGg,David,1,2020-04-02 22:16:40,0,0,0,,None,0,4.0,0,0,0,0,0,0,0,0,0,0,0
1552599,73wWeL-96KxIeQ7xuaCqzA,Melissa,1,2015-08-09 00:32:48,0,0,0,,None,0,1.0,0,0,0,0,0,0,0,0,0,0,0
119337,Di95G6nhI5I7cGlPIXuMMg,Keith,15,2011-07-27 15:22:37,26,3,1,,"z95j-DpMb6XWl_uxHrAUnQ, QRwZvufPycP-fEpx0yY6Jg, 9d5JSRw2ij6pgiVv28Afjg, aJfw_IcHU8Ogfia-C5gQBA, ZjEELoxrpjpm-Do58RYZ3Q, HKWErvBAGNxiXXVlLt6oXg, qg-4H5Dhn7qwzsT2Iyfrhg, Dzw_3kWjAdx4iJAdB3DI9Q, xcPW_x38NtRVs93W7DMPgg, YOmWlXhSZsVPXZUcQbGxYQ, FpJm_Rr6HylWvMytw0A14w, WhL0NfpAORiKJYzZKIPwXw, Oy8J8LCEtU4mgD7Og_XErA, 7yV4zKH8UA-R4J_j9QY1EA, VwqC0Q7KTEJ01jzV4vDe0g, OnJ7xoLGcR_Q12669Fj2Yg, yzX_m-_lUJVuqqdn7_nyag, 70p2P8dTvsGmZsYO-nl8hg, rO7ID9_yc9eDWo2ki1EGhA, MvOr6-P7kw5t3icIFyIgBg, ieng214-tFZ23eCyjHW5Kg, 3yWNkPD8TKqoY7s8oQZShw, TZRJr0V2bhN3B3249An4Ag, y4Q_vlMSkNG9wk_CnNvGZA, IRlEBSgSrZ2w_i_3NDJ8_A, zow6ZQSJs-wKZVoiW8skIg, tq3V18BciFI9CPSQdn75bg, axhiflGr-nNGfezSSeWGtg, oD3tR7qE9Rz2XOZOPib8wg, E-5hAgOPcK2hQQsZ8ui89Q, B68mtDYqry0mXB9MmMCltg, pGjza_psfTB9vgSbQaZZXw, fugPNODKGoiHProvYEz84A, OyNj4gWe19-z9P_xGj5ZkQ, xSwWGnB3p6CVERabj1aQkw, 7Ooru1Qya3CzfKKYs1qQ7Q, JVidnHeKHS_waxgV1xsqYw, aHb2_0qxxe4-RFeR3Ljjsg, krBtOKVUU58lPB5hPVTX9w, e12ajw4DYx4EPaFDj4r96A, E_-2BUMVtyiTYdSZaxPP1A, nOvOmMTLhPiOvrHg13ovXQ, zJVZIRInVMI-4fkoSv7kCw, cuRROWj6W_7TQY8AiBGfxw, iBKoTfG1rVo6ap1cxGsJdA, TaSLMnPx22azkpnTtiNGAg, DrZ_tWrEX1-l-TMnuWBIJg, 46y-uQjKpbNKZ1gkNtWkyA, Hx7MHh3XY_u6ITW-fG_rLQ, fpU_RolLF1eywL6UdXri0g, jdDgb8_5bfFZ7dePKTq-eg, SytNoRhYOLOnGHCoKquF6g, lN8FU1Ew6xjsO5cTQ4x48w, kNHd1wuDK6o8Gtn9tv8v3w, eZmjj91oSE0ospTDEYJiwg, K1SCMkxoVob97sUfi90yGg, PwsYrAIj-fqujk3BCBQnDw, F6rUeX8tm2TJeCwgnLeOug, NdHH_ymZZ222goAlf2Xk8Q, sYxl3qkiXwpwTePwCYTh5w, xhM3l22tp7hVC2yVIJ8_Bw, 0bgaFaCOmEZN_knq-ofC_g, IiVUoKDPWULbJOMfnHVrLQ, 9sCeyQ8y3a9kOAmPJCqEUw, wJbx8WDAvMkpwimPKFvZEA, lHl6J-K6EkFK_kKcXHjrpA, yGeUURxxZbB90JmKM4f_uQ, l9O3mQ-ha2j9-sJaYgGXbA, zf4DmeycvSS0TLawQpLNPg, KPTdyR8Ty12XQF40IQz8yA, GFeuQCnoby786GYyl9o9OA, pnYnynaoLEzso0RBERKoEw",0,1.83,0,0,0,0,0,0,1,0,0,0,0
